,TSLA_SHEL_p_value,TSLA_JNJ_p_value,TSLA_XOM_p_value,TSLA_MSFT_p_value,TSLA_GOOG_p_value,TSLA_JPM_p_value,TSLA_TM_p_value,TSLA_AZN_p_value,SHEL_JNJ_p_value,SHEL_XOM_p_value,SHEL_MSFT_p_value,SHEL_GOOG_p_value,SHEL_JPM_p_value,SHEL_TM_p_value,SHEL_AZN_p_value,JNJ_XOM_p_value,JNJ_MSFT_p_value,JNJ_GOOG_p_value,JNJ_JPM_p_value,JNJ_TM_p_value,JNJ_AZN_p_value,XOM_MSFT_p_value,XOM_GOOG_p_value,XOM_JPM_p_value,XOM_TM_p_value,XOM_AZN_p_value,MSFT_GOOG_p_value,MSFT_JPM_p_value,MSFT_TM_p_value,MSFT_AZN_p_value,GOOG_JPM_p_value,GOOG_TM_p_value,GOOG_AZN_p_value,JPM_TM_p_value,JPM_AZN_p_value,TM_AZN_p_value
0,0.008274314535830142,1.1496702799499364e-08,2.5959383173175175e-11,6.327543675118491e-30,1.1342180671630284e-13,2.818426473570878e-20,4.170151353598937e-07,0.00900694069902783,0.000692538213150287,7.310489610156923e-05,0.002616803373922759,9.093267058222822e-11,4.907161892491534e-05,5.151141427492124e-19,0.16833211221357608,0.07325299782556817,4.070139163114941e-09,2.7239263840580853e-12,3.622968252171745e-14,4.088659719740175e-11,0.9877524574876257,9.699119675188343e-08,0.16965667984274363,0.002524291989579622,0.737761998634841,0.032279074062010894,1.0417053905608241e-22,4.893571949632015e-37,5.225403013516977e-10,0.0264043655757651,5.487080737884426e-25,2.6817751321343684e-27,8.126797525604344e-05,2.0891530963618705e-13,0.2633801354008954,0.0019454318319157091
1,1.1874371451601164e-27,0.00010486680873755378,1.2345445284388745e-16,0.0005437296897800841,7.831147252313722e-22,6.880680524160181e-05,3.111189637182342e-13,0.0057630550481074915,0.0029300591261800625,8.234240089918743e-18,0.012458587064745801,8.037860805129018e-32,0.000628040257242717,7.239015913126123e-10,0.051113006301237565,1.2108423992929552e-09,2.736847391300729e-26,0.01670550027289015,6.4561370144874385e-18,0.3170513865359499,1.2655040587467633e-22,3.878804837116848e-09,2.7063599191479664e-10,5.123822083657213e-09,0.016171484906242733,9.372680844484264e-07,0.20802772139809803,8.214580094687932e-19,0.524433557010695,2.245181715628555e-12,0.009730422255446132,1.266575864042578e-06,0.058843071262435806,0.9114252872404021,1.2434174014333123e-05,0.19413883776872537
2,0.0013546384935218838,0.12811930278400008,0.11701810568345397,3.359063701873358e-18,2.8793688940047676e-12,3.9750129516508487e-47,0.021430209784620038,6.824928871313871e-08,7.294408226935356e-05,8.84728436226133e-37,0.07526422581392431,0.010839831862114773,3.5767441605693384e-05,0.023616280874586337,2.9121188444631625e-08,0.007918660174498946,0.13707994946228583,1.9602378360689825e-07,0.3348306727721848,4.243174134547461e-05,7.587344367566999e-08,0.0057476222628548785,0.363077336057491,0.015368663889883925,0.9284379754852515,0.0008306416687503638,0.004523848649588615,1.3804935008281514e-14,0.781998207393955,0.02905850528938047,5.789438079047939e-10,0.16530422355909521,0.0009601767975839176,0.09481747098467486,1.586980979169108e-06,7.979975240967859e-19
3,0.22312988922963323,0.00266602684860959,0.0014151172731939469,1.7971033343317357e-11,8.611957947387808e-11,0.03308169850688694,0.005551412514540655,1.1805043351223509e-06,1.066782435550107e-05,6.227339013187091e-08,0.44505160131809596,0.6107228029526123,1.1366129271512037e-10,6.297033179428684e-20,0.0033801907844031066,2.055918197515634e-29,1.3324924210168821e-27,3.689548250618104e-15,5.243156219140395e-23,1.927535965888933e-14,0.0006260256604230701,2.3463999432277412e-20,2.8816019967379205e-09,8.311233339345905e-12,1.8819623975594686e-15,0.19757568994965904,3.618894414301773e-36,5.552856338910271e-06,0.002677984181985417,0.26649897276430146,0.0016590374151033353,0.3320343084484249,0.1732878013461377,4.674754598768055e-28,6.7934664115582946e-09,2.7743730599695404e-06
4,5.80156112851465e-09,1.7537393030723019e-06,0.007224368865060509,3.855624815362811e-26,4.329181643152492e-23,4.753702279395373e-12,0.17276510276943488,0.0047699882287795484,1.3234477004567765e-33,8.464448547607123e-30,9.47766673090793e-10,1.2709442769458086e-05,0.0001743106062303681,0.0006600180357002729,0.04552300446472246,1.3804016928019175e-33,1.179383227558252e-06,0.002411325690686047,0.2552293645483982,6.013857233653128e-09,1.3976835922074346e-05,0.018591514275995147,0.7112068915126725,0.7813995452000034,6.37675833646457e-14,7.148185806881844e-10,1.9880093796442007e-44,1.6896947119121855e-19,0.0017552493152629583,6.4312461279611805e-06,6.875002777526303e-21,6.878463355325456e-07,1.0693794913767279e-09,3.764075917446223e-15,6.193611226647436e-19,1.917644731591884e-36
5,0.1668777386470502,0.7117736946025046,0.7342405174531593,0.9049679104557466,0.600485782899734,0.4506564953261342,0.46431529830555135,0.5371640790168435,2.4697272251633514e-08,1.4261954253298932e-25,0.9528408285625914,0.024969848728141637,0.07236567688010928,0.6375070964849916,0.6535778106601745,0.00027552968960430725,1.611577629256808e-15,2.1137858424544046e-09,0.0012157707189626404,9.866079635204255e-09,1.490746802553578e-13,0.029214837530668503,0.00013874444776371903,0.0012619289830384881,0.0009403784581948977,0.0012697449803748897,1.4188934615915115e-49,5.944674653658272e-26,2.9193426003530065e-43,3.9142971119246806e-50,1.2617904371574565e-28,5.196609500050344e-34,1.041689800234278e-38,3.200040953863168e-27,5.096423028357356e-20,2.876852519014106e-34
6,4.274121951414846e-12,0.07699878752578945,0.15129184227129866,1.2914535993214512e-11,3.877124287925288e-20,2.5575550108078677e-07,0.026446888685755347,0.4660072523202818,8.875784309142093e-05,3.112589851110614e-08,3.181353151733877e-31,5.667154034521788e-10,7.716993950011324e-35,3.3082846447888554e-10,9.243460513796182e-13,0.6175579285784364,7.289247092214637e-08,0.08799469312212438,3.79122880075375e-07,0.05857051473342398,1.4261862233787395e-15,4.0290353123660286e-05,0.5304289103268676,2.2828625885469385e-08,1.6790902766064084e-13,1.6806904023166427e-05,3.8703398202487435e-10,2.607455931009077e-38,6.983981185048602e-08,1.6038334783337924e-17,0.00036760777728455144,6.853782429688715e-05,0.5893414937556776,8.137197899588082e-10,5.284862301133769e-21,0.01192831836339342
7,3.770359668147127e-11,5.426244135368677e-16,0.03217770058098729,1.4148425832485388e-35,3.605605902559606e-25,2.560417026864809e-07,2.1542904907629618e-24,2.6563590815855706e-24,1.1225825433992848e-05,2.98531716497781e-08,5.4867010034073754e-15,5.5786276157207065e-19,9.316769486739106e-08,2.703679400830915e-07,1.85361283169407e-19,0.16419393375715252,1.0498116891672322e-16,7.576940098360357e-15,0.10069406570203869,3.218883519147934e-11,6.024225344834154e-29,0.1141000676457792,0.04535010486052519,0.6049063027121606,0.05790601943313577,0.028712692550967995,2.962430454581159e-57,6.837723362820008e-08,6.649976874950077e-14,1.8947284817754359e-31,8.975071905505595e-07,1.1192884974446486e-10,1.2853593002198288e-31,1.7748106151722795e-10,1.6150615463443763e-06,4.7797136229984944e-14
8,0.006479199645127437,7.01850746076104e-05,2.2425212054472614e-05,8.662258501824218e-07,2.3957338889784764e-11,4.0605230139869025e-06,0.034683631874052524,0.008224784775233753,3.964015404566858e-17,5.706532846079984e-21,1.2974953496644847e-33,2.959587898544588e-21,7.968674273081691e-27,1.0798871292494215e-68,4.554442729758858e-09,2.919605219428826e-17,9.543840431448443e-27,5.541757515997035e-22,1.262825097949669e-24,8.549493678745673e-19,4.3995414510477995e-08,8.292511898440686e-16,5.108033479832728e-21,1.6576153194860855e-29,1.1757351708817087e-21,2.0832133380495963e-24,2.7774921401255892e-40,1.0529073692724723e-22,1.907518052460647e-31,3.6468048066883103e-07,5.163922880722174e-23,1.9202915434439238e-20,1.1620898142114768e-11,2.007675802374199e-27,7.455160385524615e-13,1.144409615503578e-10
9,0.025308373314032195,3.1797900823140315e-07,2.0968361251928093e-06,0.12352166167624858,2.7180255047132313e-18,4.768259435924399e-05,4.3081486301266156e-10,0.02962718467591346,6.026123380143759e-07,5.3060528308208905e-14,0.012294858644583394,1.657348845677461e-05,0.002320905179181308,1.5924352008810807e-08,6.351082603335629e-11,2.590351930068893e-39,9.038667985373255e-06,0.0003227963087352302,0.02207746809893346,0.06732665307040687,0.01514475312791382,0.00013613129542906877,0.0004561437665615221,0.06875886325205656,0.0010296857340415092,0.31738595828907357,7.980208250031893e-10,4.291418231295326e-32,1.9992868948329995e-06,1.623930994808851e-14,2.029787923017241e-15,9.123300456983478e-17,0.013491615199399998,8.422687343212144e-14,9.26432388327826e-08,0.0006953597943637445
